point,W,scheme,rep,seed,pairwise_infeasible,winner_scan_feasible,n_zero_win_pairs,n_positive_share_pairs,worst_slack,t_draw,t_ctx
upper_candidate,80000,plain,2,8000002001,false,true,0,400,1.3692190398951567,0.034065961837768555,14.82370114326477
upper_candidate,80000,plain,3,8000003001,false,true,0,400,1.472999775827839,0.02403402328491211,14.892518997192383
upper_candidate,80000,plain,4,8000004001,false,true,0,400,1.115018228820416,0.024426937103271484,14.843724012374878
upper_candidate,80000,plain,5,8000005001,false,true,0,400,2.0700224816450783,0.021214962005615234,14.831655979156494
upper_candidate,80000,plain,6,8000006001,false,true,0,400,2.223555401322516,0.020891189575195312,14.92137598991394
upper_candidate,80000,plain,7,8000007001,false,true,0,400,1.5052389077305133,0.025307893753051758,14.883570909500122
upper_candidate,80000,plain,8,8000008001,false,true,0,400,1.43143234837326,0.029079914093017578,14.85548996925354
upper_candidate,80000,plain,9,8000009001,false,true,0,400,2.3656354152741947,0.029586076736450195,14.850920915603638
upper_candidate,80000,plain,10,8000010001,false,true,0,400,1.6449938283507812,0.0211029052734375,14.82980990409851
upper_candidate,80000,stratified,1,8000001002,false,true,0,400,1.1492572268917218,0.03911900520324707,14.951977014541626
upper_candidate,80000,stratified,2,8000002002,false,true,0,400,2.3334541583547246,0.038619041442871094,15.095038890838623
upper_candidate,80000,stratified,3,8000003002,false,true,0,400,2.643360690234008,0.03873801231384277,15.035254001617432
upper_candidate,80000,stratified,4,8000004002,false,true,0,400,1.7884972310855733,0.04039406776428223,13.751827955245972
upper_candidate,80000,stratified,5,8000005002,false,true,0,400,2.205910549125724,0.0427858829498291,19.786769151687622
upper_candidate,80000,stratified,6,8000006002,false,true,0,400,2.4054445121114156,0.04841494560241699,20.344369888305664
upper_candidate,80000,stratified,7,8000007002,false,true,0,400,1.6894609781751058,0.06682682037353516,16.9148850440979
upper_candidate,80000,stratified,8,8000008002,false,true,0,400,1.7977852789851987,0.04680609703063965,20.316797971725464
upper_candidate,80000,stratified,9,8000009002,false,true,0,400,1.2942271437283548,0.041690826416015625,19.521291971206665
upper_candidate,80000,stratified,10,8000010002,false,true,0,400,2.470965144765657,0.0529179573059082,21.407324075698853
