label,radius,dir_idx,sign,gp,Delta,feasible,improved
upper_lfixcomposite_sr1_60s,0.02,20,1.0,0.8922607074013585,1.0182954262091959,false,false
upper_lfixcomposite_sr1_60s,0.02,20,-1.0,0.8930112095272306,0.986918973681398,true,false
upper_lfixcomposite_sr1_60s,0.02,21,1.0,0.893677974951887,0.9592634769037592,true,false
upper_lfixcomposite_sr1_60s,0.02,21,-1.0,0.891593941976702,1.0560355204924539,false,false
upper_lfixcomposite_sr1_60s,0.02,22,1.0,0.8963701133819605,0.8582570259050223,true,false
upper_lfixcomposite_sr1_60s,0.02,22,-1.0,0.8889018035466286,1.2103396757773812,false,false
upper_lfixcomposite_sr1_60s,0.02,23,1.0,0.8862349034007272,1.4800450400433052,false,false
upper_lfixcomposite_sr1_60s,0.02,23,-1.0,0.8990370135278619,0.7771313838080355,true,false
upper_lfixcomposite_sr1_60s,0.02,24,1.0,0.8911164518932242,1.0741924560031246,false,false
upper_lfixcomposite_sr1_60s,0.02,24,-1.0,0.8941554650353649,0.9390365591880862,true,false
upper_lfixcomposite_sr1_60s,0.02,25,1.0,0.8926354495136383,1.0024237881136973,false,false
upper_lfixcomposite_sr1_60s,0.02,25,-1.0,0.8926364674149508,1.0020744266818928,false,false
upper_lfixcomposite_sr1_60s,0.02,26,1.0,0.895125779280675,0.9042202699481278,true,false
upper_lfixcomposite_sr1_60s,0.02,26,-1.0,0.8901461376479141,1.1324170987869286,false,false
upper_lfixcomposite_sr1_60s,0.02,27,1.0,0.8943425435178542,0.9322550963939995,true,false
upper_lfixcomposite_sr1_60s,0.02,27,-1.0,0.8909293734107349,1.0934124248314165,false,false
upper_lfixcomposite_sr1_60s,0.02,28,1.0,0.9022968570492902,0.6975487708223547,true,false
upper_lfixcomposite_sr1_60s,0.02,28,-1.0,0.8829750598792989,2.249644030417752,false,false
upper_lfixcomposite_sr1_60s,0.02,29,1.0,0.8952593193874441,0.8941552962391957,true,false
